product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_coprocessor,ai_enabled,color,cpu_clock,cpu_model,gpu_model,os,ram,storage,weight_kg,product_url
Gaming Desktop CPU,MSI,Infinite X3 AI,650217,26%,14999,10999,Intel AI Boost,AI Enabled,Black,3.3 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 Ti (16 GB),Windows 11,32 GB RAM,1 TB SSD,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650217.html
Gaming Desktop CPU,MSI,Infinite X3 AI,650218,16%,11999,9999,Intel AI Boost,AI Enabled,Black,3.3 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 (12 GB),Windows 11,32 GB RAM,1 TB SSD,29.24,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650218.html
CPU,Apple,Mac mini,646445,,2799,,16-core Neural Engine,Apple Intelligence,Silver,,M4,10-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,1.12,https://www.jarir.com/sa-en/apple-mac-mini-m4-cpu-646445.html
Gaming Desktop CPU,MSI,Infinite X3 AI,650219,11%,16999,14999,Intel AI Boost,AI Enabled,Black,P-core: 3.9 - 5.4 GHz/E-core: 3.3 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5080 (16 GB),Windows 11,32 GB RAM,1 TB PCIe NVMe M.2 SSD/1 TB HDD,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650219.html
Gaming Desktop CPU,MSI,Vision X AI,650209,10%,29999,26999,Intel AI Boost,AI Enabled,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (32 GB),Windows 11,128 GB RAM,2 TB SSD/2 TB HDD,35.37,https://www.jarir.com/sa-en/msi-vision-x-cpu-650209.html
Gaming Desktop CPU,MSI,Vision X AI,650211,9%,21999,19999,Intel AI Boost,AI Enabled,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5080 (16 GB),Windows 11,64 GB RAM,2 TB SSD,35.77,https://www.jarir.com/sa-en/msi-vision-x-cpu-650211.html
CPU,Apple,Mac Studio,654341,,18999,,32-core Neural Engine,Apple Intelligence,Silver,,M3,60-core GPU,macOS Sequoia,96 GB RAM,1 TB SSD,5.09,https://www.jarir.com/sa-en/apple-mac-studio-cpu-654341.html
Gaming Desktop CPU,Acer,Nitro N,649809,9%,6399,5799,Intel AI Boost,AI Enabled,Black,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,32 GB RAM,1 TB SSD,25.2,https://www.jarir.com/sa-en/acer-nitro-n50-cpu-649809.html
Gaming Desktop CPU,Acer,Predator Orion 7000,649806,9%,25999,23499,Intel AI Boost,AI Enabled,Black,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9,NVIDIA GeForce RTX 5090 (32 GB),Windows 11,128 GB RAM,2 TB SSD,30.69,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649806.html
CPU,Apple,Mac mini,646446,,3749,,16-core Neural Engine,Apple Intelligence,Silver,,M4,10-core GPU,macOS Sequoia,16 GB RAM,512 GB SSD,1.12,https://www.jarir.com/sa-en/apple-mac-mini-m4-cpu-646446.html
Gaming Desktop CPU,HP,OMEN 40L,635737,,11999,,,,Black,5.6 GHz,Intel Core i7,NVIDIA GeForce RTX 4070 Super (12 GB),Windows 11 Home,64 GB RAM,1 TB PCIe NVMe TLC SSD,27.37,https://www.jarir.com/sa-en/hp-omen-cpu-635737.html
Gaming Desktop CPU,Acer,Predator Orion 5000,649808,8%,11999,10999,Intel AI Boost,AI Enabled,Black,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 5070 (12 GB),Windows 11,64 GB RAM,1 TB SSD,30.18,https://www.jarir.com/sa-en/acer-predator-orion-5000-cpu-649808.html
CPU,Apple,Mac mini M4 Pro,646448,,6699,,16-core Neural Engine,Apple Intelligence,Silver,,M4,16-core GPU,macOS Sequoia,24 GB RAM,512 GB SSD,1.12,https://www.jarir.com/sa-en/apple-mac-mini-m4-cpu-646448.html
CPU,Apple,Mac mini,646447,,4699,,16-core Neural Engine,Apple Intelligence,Silver,,M4,10-core GPU,macOS Sequoia,24 GB RAM,512 GB SSD,1.12,https://www.jarir.com/sa-en/apple-mac-mini-m4-cpu-646447.html
CPU,Apple,Mac mini,607949,50%,6099,2999,16-core Neural Engine,Apple Intelligence,Silver,,M2,16-core GPU,macOS Ventura,16 GB RAM,512 GB SSD,1.87,https://www.jarir.com/sa-en/apple-cpu-607949.html
CPU,Apple,Mac Studio,619116,23%,8499,6499,12-core Neural Engine,Apple Intelligence,Silver,,M2,30-core GPU,macOS Ventura,32 GB RAM,512 GB SSD,5.4,https://www.jarir.com/sa-en/apple-cpu-619116.html
CPU,Apple,Mac mini,607951,40%,3749,2249,16-core Neural Engine,Apple Intelligence,Silver,,M2,10-core GPU,macOS Ventura,8 GB RAM,512 GB SSD,1.87,https://www.jarir.com/sa-en/apple-cpu-607951.html
Gaming Desktop CPU,Asus,ROG Strix,639469,18%,8199,6699,,,Extreme Dark Gray,2.1 GHz,Intel Core i7,NVIDIA GeForce RTX 4070 Dual (12 GB),Windows 11 Home,32 GB RAM,1 TB PCIe NVMe M.2 SSD,21.63,https://www.jarir.com/sa-en/asus-cpu-639469.html
Gaming Desktop CPU,HP,OMEN 45L,635738,10%,16999,15199,,,Black,6.0 GHz,Intel Core i9,NVIDIA GeForce RTX 4080 Super (16 GB),Windows 11 Home,64 GB RAM,2 TB PCIe NVMe TLC M.2 SSD,31.87,https://www.jarir.com/sa-en/hp-omen-cpu-635738.html
Gaming Desktop CPU,Lenovo,Legion T5,646841,21%,5999,4699,,,Storm Grey,P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),Windows 11 Home,16 GB RAM,1 TB PCIe NVMe M.2 SSD,21.64,https://www.jarir.com/sa-en/lenovo-legion-t5-cpu-646841.html
CPU,Apple,Mac Studio,654338,,9499,,16-core Neural Engine,Apple Intelligence,Silver,,M4,32-core GPU,macOS Sequoia,36 GB RAM,512 GB SSD,5.43,https://www.jarir.com/sa-en/apple-mac-studio-cpu-654338.html
CPU,Apple,Mac mini,607950,35%,2499,1619,16-core Neural Engine,Apple Intelligence,Silver,,M2,10-core GPU,macOS Ventura,8 GB RAM,256 GB SSD,1.95,https://www.jarir.com/sa-en/apple-cpu-607950.html
CPU,Apple,Mac mini,629271,54%,3749,1699,,,Silver,,M2,10-core GPU,macOS Ventura,8 GB RAM,512 GB SSD,0.01,https://www.jarir.com/sa-en/apple-mac-mini-m2-renewed-cpu-629271.html
Gaming Desktop CPU,HP,Victus 15L,635736,9%,6599,5999,,,Mica Silver Metal,5.4 GHz,Intel Core i7,NVIDIA GeForce RTX 4060 (8 GB),Windows 11,32 GB RAM,1 TB PCIe NVMe M.2 SSD,21.4,https://www.jarir.com/sa-en/hp-victus-cpu-635736.html
