product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,color,cpu_clock,cpu_model,gpu_model,os,ram,storage,weight_kg,product_url,ai_coprocessor,ai_enabled
Desktop Computer,Asus,A3,638426,17%,2799,2299,White,1.3 GHz,Intel Core i5,Intel Graphics,Windows 11,8 GB RAM,512 GB PCIe NVMe M.2 SSD,14.15,https://www.jarir.com/sa-en/asus-desktop-computers-638426.html,,
Desktop Computer,Lenovo,Yoga AIO,653610,12%,11999,10499,Storm Grey,P-core: 2.2 - 4.8 GHz/E-core: 2.2 - 3.7 GHz,Intel Core Ultra 7,NVIDIA GeForce RTX 4050 (6 GB GDDR6),Windows 11 Home,32 GB RAM,1 TB SSD,46.68,https://www.jarir.com/sa-en/lenovo-yoga-desktop-computers-653610.html,Intel AI Boost up to 47 TOPS,AI Enabled
Desktop Computer,Lenovo,IdeaCentre AIO 3,639983,15%,3999,3399,Cloud Grey,P-core: 2.4 - 4.9 GHz/E-core: 1.8 - 3.6 GHz,Intel Core i7,Intel UHD Graphics,Windows 11,16 GB RAM,1 TB PCIe NVMe M.2 SSD,20.27,https://www.jarir.com/sa-en/lenovo-ideacentre-aio-3-desktop-computers-639983.html,,
Desktop Computer,Acer,Aspire C,649865,7%,3999,3699,White,3.7 GHz,Intel Core i7,Intel Iris Xe Graphics,Windows 11,16 GB RAM,1 TB SSD,15.8,https://www.jarir.com/sa-en/acer-aspire-c27-desktop-computers-649865.html,,
Desktop Computer,Acer,Aspire C,649870,13%,2899,2499,White,3.4 GHz,Intel Core i5,Intel Iris Xe Graphics,Windows 11,16 GB RAM,512 GB SSD,12.45,https://www.jarir.com/sa-en/acer-aspire-c24-desktop-computers-649870.html,,
Desktop Computer,Lenovo,IdeaCentre AIO,653609,20%,3399,2699,Cloud Grey,P-core: 2.1 - 4.6 GHz/E-core: 1.5 - 3.4 GHz,Intel Core i5,Intel UHD Graphics,Windows 11 Home,8 GB RAM,512 GB SSD,21.18,https://www.jarir.com/sa-en/lenovo-ideacentre-desktop-computers-653609.html,,
Desktop Computer,HP,All-in-One,646604,25%,3999,2999,Jet Black,P-core: 1.3 - 4.3 GHz/E-core: 0.8 - 3.6 GHz,Intel Core Ultra 5,Intel Graphics,Windows 11,16 GB RAM,512 GB SSD,12.6,https://www.jarir.com/sa-en/hp-all-in-one-desktop-computers-646604.html,,
Desktop Computer,Apple,iMac M4,646196,,5999,,Green,,M4,8-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646196.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646199,,5999,,Pink,,M4,8-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646199.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646198,,5999,,Blue,,M4,8-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646198.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646191,,5999,,Silver,,M4,8-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646191.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M3,626764,30%,6999,4899,Blue,,M3,10-core GPU,macOS Sonoma,8 GB RAM,256 GB SSD,17.09,https://www.jarir.com/sa-en/apple-desktop-computers-626764.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646208,,6949,,Green,,M4,10-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646208.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646217,,7899,,Silver,,M4,10-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646217.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646211,,6949,,Blue,,M4,10-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646211.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,HP,All-in-One,646605,,5799,,Jet Black,P-core: 1.7 - 4.8 GHz/E-core: 1.2 - 3.8 GHz,Intel Core Ultra 7,Intel Graphics,Windows 11,32 GB RAM,1 TB PCIe NVMe M.2 SSD,16.28,https://www.jarir.com/sa-en/hp-all-in-one-desktop-computers-646605.html,,
Desktop Computer,Apple,iMac M4,646201,,6949,,Silver,,M4,10-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646201.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646214,,6949,,Pink,,M4,10-core GPU,macOS Sequoia,16 GB RAM,256 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646214.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646222,,7899,,Silver,,M4,10-core GPU,macOS Sequoia,16 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646222.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646229,,7899,,Blue,,M4,10-core GPU,macOS Sequoia,16 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646229.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646226,,7899,,Green,,M4,10-core GPU,macOS Sequoia,16 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646226.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac,646234,,8849,,Silver,,M4,10-core GPU,macOS Sequoia,24 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646234.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646236,,8849,,Blue,,M4,10-core GPU,macOS Sequoia,24 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646236.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,HP,All-in-One,646602,,4699,,Jet Black,P-core: 1.7 - 4.8 GHz/E-core: 1.2 - 3.8 GHz,Intel Core Ultra 7,Intel Graphics,Windows 11,16 GB RAM,512 GB PCIe NVMe M.2 SSD,12.6,https://www.jarir.com/sa-en/hp-all-in-one-desktop-computers-646602.html,,
Desktop Computer,Apple,iMac M4,646235,,8849,,Green,,M4,10-core GPU,macOS Sequoia,24 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646235.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646240,,8849,,Pink,,M4,10-core GPU,macOS Sequoia,24 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646240.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac M4,646231,,7899,,Pink,,M4,10-core GPU,macOS Sequoia,16 GB RAM,512 GB SSD,12.61,https://www.jarir.com/sa-en/apple-imac-m4-desktop-computers-646231.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Asus,AIO A5702,638427,11%,4499,3999,Black,2.2 GHz,Intel Core i7,Intel Iris Xe Graphics,Windows 11,16 GB RAM,1 TB PCIe NVMe M.2 SSD,26.23,https://www.jarir.com/sa-en/asus-desktop-computers-638427.html,,
Desktop Computer,Apple,iMac M3,626772,30%,7799,5399,Blue,,M3,10-core GPU,macOS Sonoma,8 GB RAM,512 GB SSD,16.9,https://www.jarir.com/sa-en/apple-desktop-computers-626772.html,16-core Neural Engine,Apple Intelligence
Desktop Computer,Apple,iMac,636270,50%,6999,3499,Blue,,M3,10-core GPU,macOS Sonoma,8 GB RAM,256 GB SSD,17.09,https://www.jarir.com/sa-en/apple-imac-m3-renewed-desktop-computers-636270.html,,
Desktop Computer,HP,All-in-One,618724,6%,4799,4499,Jack Black,P-core: 1.7 - 5.0 GHz/E-core: 1.2 - 3.7 GHz,Intel Core i7,Intel Iris Xe Graphics,Windows 11,16 GB RAM,1 TB PCIe NVMe M.2 SSD,45.35,https://www.jarir.com/sa-en/hp-all-in-one-desktop-computers-618724.html,,
Desktop Computer,Apple,iMac,652525,50%,6999,3499,Pink,,M3,10-core GPU,macOS Sonoma,8 GB RAM,256 GB SSD,19.7,https://www.jarir.com/sa-en/apple-imac-m3-renewed-desktop-computers-652525.html,,
Desktop Computer,Apple,iMac M3,626770,30%,7799,5399,Silver,,M3,10-core GPU,macOS Sonoma,8 GB RAM,512 GB SSD,16.9,https://www.jarir.com/sa-en/apple-desktop-computers-626770.html,16-core Neural Engine,Apple Intelligence
