product_type,series,cpu_model,cpu_clock,gpu_model,ram,storage,os,os_arch,ai_coprocessor,ai_enabled,connectivity,ports,color,width_cm,height_cm,depth_cm,weight_kg,regular_price_sar,sale_price_sar,discount_percent,warranty_code,screen_size_inch,release_date,screen_refresh_rate_hz,screen_resolution,audio_feature,special_features,webcam,vr_ready,product_url
2-in-1 Gaming Laptop - Convertible,Asus ROG Republic of Gamers,AMD Ryzen AI MAX 390,3.2 GHz,AMD Radeon Graphics,32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,AMD Ryzen AI up to 50 TOPS,CoPilot+ PC,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C (DisplayPort/PD)/3.5 mm Combo Audio Jack,Off Black,30.00 cm ( 11.81 in ),20.40 cm ( 8.03 in ),1.49 cm ( .59 in ),1.20 kg ( 2.65 lb ),8999.0,,,A0-ASPY2,"13.4""",2024,2.5K Display,2560 X 1600 (WQXGA),"2 X 2W Dual-force Speakers, Dolby Atmos",MUX Switch + NVIDIA Advanced Optimus,Rear: 5 MP (IR Camera)/Front: 13 MP,VR Enabled,https://www.jarir.com/sa-en/asus-rog-zephyrus-g16-laptops-648713.html
Gaming Laptop,Asus ROG Republic of Gamers,AMD Ryzen AI 9 HX 370,2.0 GHz,NVIDIA GeForce RTX 4070 (8 GB),32 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,64 bit,AMD XDNA up to 50 TOPS,CoPilot+ PC,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C (DisplayPort)/Audio Combo Port,Platinum White,35.40 cm ( 13.94 in ),24.60 cm ( 9.69 in ),1.49 cm ( .59 in ),1.85 kg ( 4.08 lb ),10699.0,,,A0-ASPY2,"16""",2024,2.5K WQXGA OLED 240 Hz,2560 X 1600 (WQXGA),4 Speaker (Dual-force Woofer)/2 Tweeters,MUX Switch + NVIDIA Advanced Optimus,1080P FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/asus-laptops-641091.html
Gaming Laptop,HP OMEN,Intel Core i7-14700HX (14th Gen),5.5 GHz,NVIDIA GeForce RTX 4060 (8 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB/USB-C (Thunderbolt 4/DisplayPort 1.4)/RJ-45/Audio Combo Port,Shadow Black,36.90 cm ( 14.53 in ),25.94 cm ( 10.21 in ),2.35 cm ( .93 in ),2.39 kg ( 5.27 lb ),8499.0,,,24-ASP12Y2,"16.1""",2024,QHD-IPS Display,2560 X 1440 (QHD),"DTS:X Ultra, Dual Speakers, HP Audio Boost, HyperX","4-zone RGB Backlit, Low Blue Light",True Vision FHD Webcam,,https://www.jarir.com/sa-en/hp-omen-laptops-634919.html
Gaming Laptop,HP OMEN,Intel Core Ultra 9 185H,5.1 GHz,NVIDIA GeForce RTX 4070 (8 GB),32 GB RAM,2 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,Intel AI Boost,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C (Thunderbolt 4/DisplayPort 1.4)/Audio Combo Port,Shadow Black,31.30 cm ( 12.32 in ),23.35 cm ( 9.19 in ),1.79 cm ( .70 in ),1.63 kg ( 3.59 lb ),12699.0,,,24-ASP12Y2,"14""",2024,2.8K OLED 400N Display,2880 X 1800 (OLED),"DTS:X Ultra, Dual Speakers, HP Audio Boost","RGB Backlit, Low Blue Light",True Vision FHD Webcam,,https://www.jarir.com/sa-en/hp-omen-laptops-634904.html
Gaming Laptop,HP Victus,Intel Core i7-14650HX (14th Gen),P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,NVIDIA GeForce RTX 4050 (6 GB),16 GB RAM,1 TB PCIe Gen4,Windows 11,64 bit,,,Wi-Fi/Bluetooth,,Mica Silver,,,,2.33 kg ( 5.14 lb ),6499.0,,,24-ASP12Y2,"16.1""",2024,FHD-IPS Anti-glare,1920 X 1080 (FHD),,,FHD 1080p with Privacy Shutter,,https://www.jarir.com/sa-en/hp-victus-laptops-646603.html
Gaming Laptop,Asus ROG Republic of Gamers,Intel Core Ultra 9 275HX,2.7 GHz,NVIDIA GeForce RTX 5090 (24 GB),64 GB RAM,2 TB + 2 TB PCIe 4.0 NVMe SSD,Windows 11 Home,64 bit,Intel AI Boost up to 13 TOPS,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/Thunderbolt 5 (DisplayPort)/RJ-45,Off Black,39.90 cm ( 15.71 in ),29.80 cm ( 11.73 in ),2.35 cm ( .93 in ),3.30 kg ( 7.28 lb ),24999.0,,,A0-ASPY2,"18""",2025,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),4 Speakers with Smart Amp Technology,"Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",1080P FHD IR Camera,,https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648711.html
Gaming Laptop,Asus TUF Gaming,AMD Ryzen 5-7535HS,3.3 GHz,NVIDIA GeForce RTX 3050 (4 GB),8 GB RAM,512 GB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C 3.2/RJ-45,Graphite Black,35.90 in ( 91.19 cm ),25.60 in ( 65.02 cm ),2.45 cm ( .96 in ),2.30 kg ( 5.07 lb ),3199.0,,,A0-ASPY2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),Built-in Mic/Speakers,Backlit Chiclet Keyboard 1-Zone RGB,720p HD Camera,,https://www.jarir.com/sa-en/asus-fx507z4hn132w-laptops-648712.html
Gaming Desktop CPU,Acer Nitro,Intel Core Ultra 7 265F,P-core: 2.4 - 5.2 GHz/E-core: 1.8 - 4.6 GHz,NVIDIA GeForce RTX 4060 (8 GB),32 GB RAM,1 TB SSD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,Black,18.00 cm ( 7.09 in ),44.00 cm ( 17.32 in ),43.00 cm ( 16.93 in ),25.2,6399.0,,,34-ASPY2,,,,,,,,,https://www.jarir.com/sa-en/acer-nitro-n50-cpu-649809.html
Gaming Laptop,HP OMEN,Intel Core Ultra 7 155H,4.8 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,Intel AI Boost,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/USB-C (Thunderbolt 4/DisplayPort 1.4)/Audio Combo Port,Shadow Black,31.30 cm ( 12.32 in ),23.35 cm ( 9.19 in ),1.79 cm ( .70 in ),1.63 kg ( 3.59 lb ),9499.0,,,24-ASP12Y2,"14""",2024,2.8K OLED 400N Display,2880 X 1800 (OLED),"DTS:X Ultra, Dual Speakers, HP Audio Boost","RGB Backlit, Low Blue Light",True Vision 1080p FHD IR Camera,,https://www.jarir.com/sa-en/hp-omen-laptops-634915.html
Gaming Desktop CPU,HP OMEN,Intel Core i7-14700K (14th Gen),5.6 GHz,NVIDIA GeForce RTX 4070 Super (12 GB),64 GB RAM,1 TB PCIe NVMe TLC SSD,Windows 11 Home,64-bit,,,Wi-Fi/Bluetooth,HDMI/DisplayPort/USB/USB-C/RJ-45/Audio (In/Out),Black,20.40 cm ( 8.03 in ),47.00 cm ( 1.54 ft ),46.70 cm ( 1.53 ft ),27.37,11999.0,,,24-ASP12Y2,,,,,,,,,https://www.jarir.com/sa-en/hp-omen-cpu-635737.html
Gaming Laptop,Raider,Intel Core i9-14900HX (14th Gen),2.2 GHz,NVIDIA GeForce RTX 4090 (16 GB),32 GB RAM,2 TB NVMe PCIe Gen 4Ã4 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1/USB 3.2/USB-C (Thunderbolt 4)/RJ-45,Black,404.00 mm ( 15.91 in ),307.50 mm ( 12.11 in ),32.00 mm ( 1.26 in ),3.60 kg ( 7.94 lb ),18999.0,13999.0,26%,08-3RD12Y2,"18""",2024,QHD+ 240 Hz Display,2560 X 1600 (QHD),"4 Audio Speaker, 2 Audio Woofer",,1080P FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/msi-raider-18-hx-laptops-641142.html
Gaming Laptop,MSI Stealth,Intel Core Ultra 7 155H,1.4 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB PCIe 4.0 NVMe M.2 SSD,Windows 11 Home,64 bit,Intel AI Boost,AI Enabled,Wi-Fi (7)/Bluetooth,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (DisplayPort),Star Blue,315.00 mm ( 12.40 in ),246.00 mm ( 9.69 in ),19.00 mm ( .75 in ),1.70 kg ( 3.75 lb ),6799.0,4499.0,33%,08-3RD12Y2,"14""",2024,OLED 120 Hz DisplayHDR 500 (VESA Certified),2880 X 1800 (OLED),"Nahimic Sound, 2 X 2W Speakers",,FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/msi-stealth-14-laptops-641154.html
Gaming Desktop CPU,HP OMEN,Intel Core i9-14900K (14th Gen),6.0 GHz,NVIDIA GeForce RTX 4080 Super (16 GB),64 GB RAM,2 TB PCIe NVMe TLC M.2 SSD,Windows 11 Home,64-bit,,,Wi-Fi/Bluetooth,HDMI/DisplayPort/USB 2.0/USB-C/RJ-45/Audio (In/Out),Black,20.40 cm ( 8.03 in ),47.00 cm ( 1.54 ft ),55.50 cm ( 1.82 ft ),31.87,16999.0,15199.0,10%,24-ASP12Y2,,,,,,,,,https://www.jarir.com/sa-en/hp-omen-cpu-635738.html
Gaming Laptop,Asus ROG Republic of Gamers,Intel Core Ultra 9 275HX,2.7 GHz,NVIDIA GeForce RTX 5080 (16 GB),64 GB RAM,2 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,64 bit,Intel AI Boost up to 13 TOPS,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),HDMI 2.1/USB 3.2/Thunderbolt 5 (DisplayPort)/RJ-45,Off Black,39.90 cm ( 15.71 in ),29.80 cm ( 11.73 in ),2.35 cm ( .93 in ),3.30 kg ( 7.28 lb ),18999.0,,,A0-ASPY2,"18""",2025,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),4 Speakers with Smart Amp Technology,"Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",1080P FHD IR Camera,,https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648710.html
Gaming Laptop,MSI Katana,Intel Core i9-13900H (13th Gen),P-core: 2.6 - 5.4 GHz/E-core: 1.9 - 4.1 GHz,NVIDIA GeForce RTX 4070 (8 GB),16 GB RAM,1 TB NVMe PCIe Gen 4Ã4 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1/USB 3.2/USB-C 3.2 (DisplayPort)/RJ-45,Black,35.90 cm ( 14.13 in ),25.90 cm ( 10.20 in ),2.49 cm ( .98 in ),2.25 kg ( 4.96 lb ),7499.0,5999.0,20%,08-3RD12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),Dynaudio Sound 2 X 2W Speakers with Passive Radiator,,FHD Webcam,VR Enabled,https://www.jarir.com/sa-en/msi-katana-15-laptops-638292.html
Gaming Desktop CPU,Acer Predator,Intel Core Ultra 9 285K,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,NVIDIA GeForce RTX 5090 (32 GB),128 GB RAM,2 TB SSD,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,Black,21.90 cm ( 8.62 in ),48.50 cm ( 1.59 ft ),50.40 cm ( 1.65 ft ),30.69,25999.0,,,34-ASPY2,,,,,,,,,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649806.html
Gaming Laptop,Lenovo Legion,Intel Core i9-14900HX (14th Gen),2.2 GHz,NVIDIA GeForce RTX 4070 (8 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/Audio Combo Port,Eclipse Black,35.77 cm ( 14.08 in ),25.93 cm ( 10.21 in ),1.76 cm ( .69 in ),2.00 kg ( 4.41 lb ),10499.0,8999.0,14%,26-ASP12Y2,"16""",2023,3.2K IPS 165 Hz,3200 X 2000,Harman Speakers with Nahimic Audio,,FHD Webcam,VR Enabled,https://www.jarir.com/sa-en/lenovo-legion-7-laptops-628026.html
Gaming Desktop CPU,Lenovo Legion,Intel Core i9-14900HX (14th Gen),P-core: 2.2 - 5.8 GHz/E-core: 1.6 - 4.1 GHz,NVIDIA GeForce RTX 4070Ti Super (16 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64-bit,,,Wi-Fi/Bluetooth,DisplayPort/USB 2.0/USB 3.2/USB-C/RJ-45/Audio Combo Port,Storm Grey,20.50 cm ( 8.07 in ),42.59 cm ( 16.77 in ),39.69 cm ( 15.63 in ),21.86,9999.0,8499.0,15%,26-ASP12Y2,,,,,,,,,https://www.jarir.com/sa-en/lenovo-legion-t5-cpu-646843.html
Gaming Laptop,Acer Nitro,AMD Ryzen 7-8845HS,3.3 GHz,NVIDIA GeForce RTX 4050 (6 GB),16 GB RAM,512 GB NVMe M.2 SSD,Windows 11,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1/USB 2.0/USB 3.1/USB-C/RJ-45,Black,32.30 cm ( 12.72 in ),23.99 cm ( 9.44 in ),2.35 cm ( .93 in ),2.10 kg ( 4.63 lb ),4999.0,3699.0,26%,34-ASPY2,"16""",2024,FHD-LED Display 165 Hz,1920 X 1080 (WUXGA),Built-in Mic/Speakers,,HD Webcam,VR Enabled,https://www.jarir.com/sa-en/acer-nitro-v16-laptops-639591.html
Gaming Laptop,Acer Nitro,Intel Core i9-12900H (12th Gen),2.5 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB SSD,Windows 11,64 bit,,,Wi-Fi/Bluetooth,HDMI 2.1/USB 2.0/USB 3.1/USB-C,Black,32.30 cm ( 12.72 in ),23.99 cm ( 9.44 in ),2.35 cm ( .93 in ),2.10 kg ( 4.63 lb ),5499.0,4299.0,21%,34-ASPY2,"15.6""",2024,FHD-LED 144 Hz,1920 X 1080 (FHD),Built-in Mic/Speakers,RGB Keyboard,720p HD Camera,VR Enabled,https://www.jarir.com/sa-en/acer-nitro-5-laptops-644112.html
Gaming Laptop,MSI GF,Intel Core i5-12450H (12th Gen),2.0 GHz,NVIDIA GeForce RTX 2050 (4 GB),8 GB RAM,512 GB NVMe PCIe SSD Gen 4x4,Windows 11 Home,64 bit,,,Wi-Fi (6E)/Bluetooth (5.3),HDMI/USB 3.2/USB-C 3.2 (DisplayPort)/RJ-45,Cosmos Grey,35.90 cm ( 14.13 in ),25.40 cm ( 10.00 in ),2.17 cm ( .85 in ),1.86 kg ( 4.10 lb ),2999.0,1999.0,33%,08-3RD12Y2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"2 X 2W Speakers, DTS Audio Processing",,HD Webcam,,https://www.jarir.com/sa-en/msi-thin-15-laptops-634436.html
Gaming Desktop CPU,Lenovo Legion,Intel Core i7-14650HX (14th Gen),P-core: 2.2 - 5.2 GHz/E-core: 1.6 - 3.7 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64-bit,,,Wi-Fi/Bluetooth,DisplayPort/USB 2.0/USB 3.2/USB-C/RJ-45/Audio Combo Port,Storm Grey,20.50 cm ( 8.07 in ),42.59 cm ( 16.77 in ),39.69 cm ( 15.63 in ),21.64,5999.0,4999.0,16%,26-ASP12Y2,,,,,,,,,https://www.jarir.com/sa-en/lenovo-legion-t5-cpu-646841.html
Gaming Laptop,HP OMEN,AMD Ryzen 9-8945HS,4.0 GHz,NVIDIA GeForce RTX 4060 (8 GB),32 GB RAM,1 TB PCIe Gen4,Windows 11,64 bit,,,Wi-Fi/Bluetooth,,Shadow Black,,,,2.95 kg ( 6.50 lb ),8699.0,8099.0,6%,24-ASP12Y2,"17.3""",2024,QHD IPS AG 300N 240 Hz,2304 X 1440 (QHD),,,FHD 1080p with Privacy Shutter,,https://www.jarir.com/sa-en/hp-omen-laptops-646601.html
Gaming Laptop,MSI Pulse,Intel Core Ultra 9 185H,P-core: 2.3 - 5.1 GHz/E-core: 1.8 - 3.8 GHz,NVIDIA GeForce RTX 4060 (8 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64 bit,Intel AI Boost,AI Enabled,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (DisplayPort),Core Black,35.90 cm ( 14.13 in ),26.64 cm ( 10.49 in ),2.18 cm ( .86 in ),2.50 kg ( 5.51 lb ),5499.0,4999.0,9%,08-3RD12Y2,"16""",2024,QHD+ 240 Hz Display,2560 X 1600,"Nahimic Sound, 2 X 2W Speakers",,HD Webcam,VR Enabled,https://www.jarir.com/sa-en/msi-pulse-16-laptops-650275.html
Gaming Laptop,Asus TUF Gaming,AMD Ryzen 7-7435HS,3.1 GHz,NVIDIA GeForce RTX 4050 (6 GB),16 GB RAM,1 TB,Windows 11 Home,64 bit,,,Wi-Fi (6),HDMI 2.1/USB 3.2/USB-C 3.2/RJ-45/3.5 mm Combo Audio Jack,Mecha Grey,35.40 cm ( 13.94 in ),25.10 cm ( 9.88 in ),2.49 cm ( .98 in ),2.20 kg ( 4.85 lb ),4299.0,,,A0-ASPY2,"15.6""",2024,FHD IPS 144 Hz Display,1920 X 1080 (FHD),"AI Noise Cancelling, Dolby Atmos",Backlit Chiclet Keyboard 1-Zone RGB,720p HD Camera,,https://www.jarir.com/sa-en/asus-laptops-637820.html
Gaming Laptop,Asus ROG Republic of Gamers,Intel Core i9-14900HX (14th Gen),2.2 GHz,NVIDIA GeForce RTX 4080 (12 GB),32 GB RAM,1 TB M.2 NVMe PCIe 4.0 SSD,Windows 11 Home,64 bit,,,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C 3.2 (DisplayPort)/Thnuderbolt 4/Audio Combo Port,Eclipse Grey,35.40 cm ( 13.94 in ),26.40 cm ( 10.39 in ),2.26 cm ( .89 in ),2.50 kg ( 5.51 lb ),12499.0,,,A0-ASPY2,"16""",2024,QHD+ 240 Hz Display,2560 X 1600 (WQXGA),4 Speakers with Smart Amp Technology,"Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",720p HD Camera,,https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-635115.html
Gaming Desktop CPU,Asus ROG Republic of Gamers,Intel Core i7-14700F (14th Gen),2.1 GHz,NVIDIA GeForce RTX 4070 Dual (12 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11 Home,64-bit,,,Wi-Fi/Bluetooth,HDMI/DisplayPort/USB 2.0/USB 3.2/USB-C/PS2/RJ-45/Audio Combo Port,Extreme Dark Gray,18.00 cm ( 7.09 in ),42.80 cm ( 16.85 in ),43.00 cm ( 16.93 in ),21.63,8199.0,,,A0-ASPY2,,,,,,,,,https://www.jarir.com/sa-en/asus-cpu-639469.html
Gaming Laptop,HP OMEN,Intel Core i7-8750H,2.2 GHz,NVIDIA GeForce GTX 1050 (4 GB),8 GB RAM,16 GB (Optane)/1 TB HDD,Windows 10,64-bit,,,Wi-Fi/Bluetooth,HDMI/USB 2.0/USB 3.1/RJ-45,Shadow Black,38.85 cm ( 15.30 in ),27.55 cm ( 10.85 in ),2.48 cm ( .98 in ),2.62 kg ( 5.78 lb ),4708.43,2999.0,36%,,"15.6""",2018,FHD-WLED Anti-glare Display,1920 X 1080 (WUXGA),Bang & Olufsen Dual Speakers,,True Vision HD Webcam,,https://www.jarir.com/sa-en/hp-15-dc0001nx-renewed-laptops-522749.html
Gaming Laptop,HP OMEN,Intel Core i7-11800H,2.3 GHz,NVIDIA GeForce RTX 3060 (6 GB),16 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 10,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.1/USB-C/Mini DisplayPort/RJ-45/Audio Combo Port,Shadow Black,36.92 cm ( 14.54 in ),24.80 cm ( 9.76 in ),2.30 cm ( .91 in ),2.31 kg ( 5.09 lb ),7199.0,4599.0,36%,,"16.1""",2021,FHD-WLED IPS 144 Hz Anti-glare Micro Edge Display,1920 X 1080 (FHD),"Bang & Olufsen Dual Speakers, DTS:X Ultra, HP Audio Boost, Audio Combo Port",,Wide Vision HD Webcam,,https://www.jarir.com/sa-en/hp-omen-renewed-laptops-644001.html
Gaming Desktop CPU,HP Victus,Intel Core i7-14700F,5.4 GHz,NVIDIA GeForce RTX 4060 (8 GB),32 GB RAM,1 TB PCIe NVMe M.2 SSD,Windows 11,64-bit,,,Wi-Fi/Bluetooth,HDMI/USB/USB-C/RJ-45/Audio Combo Port,Mica Silver Metal,15.50 cm ( 6.10 in ),29.70 cm ( 11.69 in ),33.70 cm ( 13.27 in ),21.4,6599.0,5999.0,9%,24-ASP12Y2,,,,,,,,,https://www.jarir.com/sa-en/hp-victus-cpu-635736.html
