product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656238,12%,2499,2199,,Grey,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,8 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",128 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656238.html,
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE,656224,13%,2299,1999,,Grey,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,12 GB RAM,TFT-LCD Touchscreen,"10.9""",2304 X 1440 Pixels,"90 Hz Display, S Pen",256 GB,520.00 g ( 1.15 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656224.html,
Tablet - Wi-Fi (with Samsung S Pen),Samsung,Galaxy Tab S10 FE+,656225,12%,2499,2199,,Blue,2.9 GHz + 2.6 GHz + 1.95 GHz,Android 15,8 GB RAM,TFT-LCD Touchscreen,"13.1""",2880 X 1800 Pixels,"90 Hz Display, S Pen",128 GB,674.00 g ( 1.49 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s10-fe-tablet-pc-656225.html,
Tablet - 4G,Samsung,Galaxy Tab A9,626615,37%,749,469,,Navy,2.2 + 2.0 GHz,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-626615.html,1 SIM
Tablet - 4G,Samsung,Galaxy Tab A9,626626,37%,749,469,,Graphite,2.2 + 2.0 GHz,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-626626.html,1 SIM
Tablet - Wi-Fi (with Active Pen),Huawei,MatePad SE 11,659581,25%,999,749,,Crystal Blue,,HarmonyOS 2,8 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-11-tablet-pc-659581.html,
Tablet - Wi-Fi (with Active Pen),Huawei,MatePad SE 11,635868,25%,999,749,,Crystal Blue,,HarmonyOS 2,8 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-635868.html,
Tablet - Wi-Fi (with Kids Cover & Stylus),Huawei,MatePad SE Kids Edition,635869,29%,849,599,,Nebula Grey,,HarmonyOS 2,4 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Parental Assistant, Five Layered Eye Protection, eBook Mode, Kids Corner",128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-635869.html,
Tablet - Wi-Fi (with Active Pen),Huawei,MatePad SE 11,659582,25%,999,749,,Nebula Grey,,HarmonyOS 2,8 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-11-tablet-pc-659582.html,
Tablet - Wi-Fi (with Kids Cover & Stylus),Huawei,MatePad SE Kids Edition,656806,29%,849,599,,Nebula Grey,,HarmonyOS 2,4 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,"Parental Assistant, Five Layered Eye Protection, eBook Mode, Kids Corner",128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-matepad-se-kids-edition-tablet-pc-656806.html,
Tablet - 5G,Xiaomi,Redmi Pad Pro,640252,16%,1499,1249,,Grey,2.4 GHz,Android HyperOS,8 GB RAM,FHD+ IPS LCD 120 Hz Display,"12.1""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,570.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-pro-tablet-pc-640252.html,Dual SIM
Tablet - 4G,Xiaomi,Redmi Pad SE 8.7,640281,26%,649,479,,Graphite Grey,2.0 GHz,Android HyperOS,6 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,Triple TUV Rheinland Eye Protection,128 GB,373.00 g ( 13.17 oz ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-tablet-pc-640281.html,Dual SIM
Tablet - Wi-Fi (with Keyboard + Pen),Lenovo,Yoga Tab Plus,652310,7%,2699,2499,,Tidal Teal,3.3 GHz + 2.95 GHz + 3.14 GHz + 2.26 GHz,Android 14,16 GB RAM,3K Multi-Touch,"12.7""",2944 X 1840 Pixels,Dust and Water Resistant (IP53),256 GB,640.00 g ( 1.41 lb ),https://www.jarir.com/sa-en/lenovo-yoga-tab-plus-tablet-pc-652310.html,
Tablet - 4G,Xiaomi,Redmi Pad 2,659591,15%,899,759,,Grey,2.2 GHz,Android HyperOS 2,8 GB RAM,2.5K 600 Nits,"11""",1560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,519.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-tablet-pc-659591.html,Dual SIM
Tablet - 4G,Xiaomi,Redmi Pad SE 8.7,640284,26%,649,479,,Sky Blue,2.0 GHz,Android HyperOS,6 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,Triple TUV Rheinland Eye Protection,128 GB,373.00 g ( 13.17 oz ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-tablet-pc-640284.html,Dual SIM
Tablet - 4G (with Case Cover),Lenovo,Tab (TB311XU),648273,21%,699,549,,Luna Grey,2.0 + 1.8 GHz,Android 14,4 GB RAM,FHD-LCD Touchscreen,"10.1""",1920 X 1200 Pixels,"Dolby Atmos, 60 Hz Display",128 GB,465.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/lenovo-lenovo-tab-tablet-pc-648273.html,1 SIM
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660373,15%,699,589,,Purple,2.2 GHz,Android HyperOS 2,4 GB RAM,2.5K 600 Nits,"11""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,128 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-tablet-pc-660373.html,
Wi-Fi Tablet PC,Xiaomi,Redmi Pad SE 8.7,641314,31%,449,309,,Graphite Grey,2.0 GHz,Android HyperOS,4 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,TUV Rheinland Eye Protection,64 GB,373.00 g ( 13.17 oz ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-tablet-pc-641314.html,
Tablet - 4G (with Case Cover),Honor,Pad X9a,661178,10%,949,849,,Grey,4X 2.8 (Cortex-A73) + 4X 1.9 (Cortex-A53) GHz,MagicOS 9.0,8 GB RAM,IPS-LCD Touchscreen,"11.5""",2508 X 1504 Pixels,,128 GB,480.00 g ( 1.06 lb ),https://www.jarir.com/sa-en/honor-pad-x9a-tablet-pc-661178.html,1 SIM
Tablet - Wi-Fi (with Clear Case Cover),Honor,Pad X9a,655531,12%,799,699,,Grey,4X 2.8 (Cortex-A73) + 4X 1.9 (Cortex-A53) GHz,MagicOS 9.0,8 GB RAM,IPS-LCD Touchscreen,"11.5""",2508 X 1504 Pixels,,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/honor-pad-x9a-tablet-pc-655531.html,
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660372,15%,699,589,,Grey,2.2 GHz,Android HyperOS 2,4 GB RAM,2.5K 600 Nits,"11""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,128 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-tablet-pc-660372.html,
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Pad 7,653920,6%,1499,1399,,Grey,2.63 GHz,Android HyperOS 2,8 GB RAM,3.2K 144 Hz LCD Display,"11.2""",3200 X 2136 Pixels,"Smartphone Link, Stylus Support (Magnetic)",256 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/xiaomi-xiaomi-pad-7-tablet-pc-653920.html,
Tablet - Wi-Fi (with Case Cover + Film),Lenovo,Legion Tab,652307,4%,2199,2099,,Eclipse Black,3.3 GHz,Android 14,12 GB RAM,2.5K 165 Hz LCD Display,"8.8""",2560 X 1600 Pixels,"Dust and Water Resistant (IP53), Legion Coldfront Cooling Sytem",256 GB,350.00 g ( 12.36 oz ),https://www.jarir.com/sa-en/lenovo-legion-tab-tablet-pc-652307.html,
Wi-Fi Tablet PC,Xiaomi,Pad 7 Pro,658485,5%,1999,1899,,Blue,3.0 GHz,Android HyperOS,12 GB RAM,3.2K 144 Hz LCD Display,"11.2""",3200 X 2136 Pixels,"Smartphone Link, Stylus Support (Magnetic)",512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/xiaomi-pad-7-pro-tablet-pc-658485.html,
Wi-Fi Tablet PC,Acer,Iconia A10M1,651352,20%,499,399,,Steel Grey,2.2 GHz,Android 14,4 GB RAM,IPS HD-LCD Touchscreen,"10.1""",1280 X 800 Pixels,,128 GB,.45 kg ( .99 lb ),https://www.jarir.com/sa-en/acer-iconia-a10m1-tablet-pc-651352.html,
Tablet - 4G (with Case Cover),Lenovo,Tab One,652302,20%,499,399,,Luna Grey,2.0 + 1.8 GHz,Android 14,4 GB RAM,IPS HD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,,128 GB,320.00 g ( 11.30 oz ),https://www.jarir.com/sa-en/lenovo-tab-one-tablet-pc-652302.html,1 SIM
Wi-Fi Tablet PC,Xiaomi,Pad 7 Pro,653919,5%,1999,1899,,Grey,3.0 GHz,Android HyperOS 2,12 GB RAM,3.2K 144 Hz LCD Display,"11.2""",3200 X 2136 Pixels,"Smartphone Link, Stylus Support (Magnetic)",512 GB,512.00 g ( 1.13 lb ),https://www.jarir.com/sa-en/xiaomi-xiaomi-pad-7-pro-tablet-pc-653919.html,
Wi-Fi Tablet PC,Acer,Iconia A8,637746,12%,399,349,,Silver,1.8 GHz,Android 14,4 GB RAM,IPS-LED Capacitive Touchscreen,"8.7""",1340 X 800 Pixels,,64 GB,385.00 g ( 13.59 oz ),https://www.jarir.com/sa-en/acer-iconia-a8-tablet-pc-637746.html,
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660370,10%,799,719,,Graphite Grey,2.2 GHz,Android HyperOS 2,8 GB RAM,2.5K 600 Nits,"11""",1560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-wifi-tablet-pc-660370.html,
Tablet - Wi-Fi (with Clear Case Cover),Xiaomi,Redmi Pad 2,660365,10%,799,719,,Purple,2.2 GHz,Android HyperOS 2,8 GB RAM,2.5K 600 Nits,"11""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,256 GB,510.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-2-wifi-tablet-pc-660365.html,
Tablet - Wi-Fi (with Clear Case Cover),Honor,Pad X7,662336,,349,,,Grey,4X 2.4 (Cortex A73) + 4X 1.9 (Cortex A53) GHz,Android 15,4 GB RAM,IPS-LCD Touchscreen,"8.7""",1340 X 800 Pixels,TUV Rheinland Low Blue Light,128 GB,365.00 g ( 12.88 oz ),https://www.jarir.com/sa-en/honor-pad-x7-tablet-pc-662336.html,
Tablet - Wi-Fi with Stand,Taktik,S01,662026,,1699,,,Black,2.0 GHz,Android 12,4 GB RAM,IPS FHD-LCD Touchscreen,"21.5""",1920 X 1080 Pixels,Built-In Stand,64 GB,11.13 kg ( 24.54 lb ),https://www.jarir.com/sa-en/taktik-s01-tablet-pc-662026.html,
Wi-Fi Tablet PC,Apple,iPad A16,654176,,1599,,,Blue,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,128 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654176.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,635573,,4699,,Apple Intelligence,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,444.00 g ( 15.67 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-tablet-pc-635573.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,635597,,5999,,Apple Intelligence,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-tablet-pc-635597.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,635600,,4699,,Apple Intelligence,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,444.00 g ( 15.67 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-tablet-pc-635600.html,
Wi-Fi Tablet PC,Apple,iPad mini (A17 Pro),645005,,2299,,Apple Intelligence,Space Grey,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,293.00 g ( 10.34 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-7-tablet-pc-645005.html,
Wi-Fi Tablet PC,Apple,iPad A16,654165,,1599,,,Silver,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,128 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654165.html,
Wi-Fi Tablet PC,Apple,iPad A16,654185,,2049,,,Silver,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654185.html,
Tablet - 5G,Apple,iPad Pro 13 M4,635603,,6899,,Apple Intelligence,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-tablet-pc-635603.html,
Tablet - 5G,Apple,iPad Pro 13 M4,635609,,7799,,Apple Intelligence,Silver,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 GB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-tablet-pc-635609.html,
Wi-Fi Tablet PC,Apple,iPad mini (A17 Pro),645010,,2299,,Apple Intelligence,Blue,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,293.00 g ( 10.34 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-7-tablet-pc-645010.html,
Wi-Fi Tablet PC,Huawei,MatePad 11.5,659580,,1099,,,Space Grey,,HarmonyOS 4.2,6 GB RAM,2.2K 120 Hz IPS-LCD Touchscreen,"11.5""",2200 X 1440 Pixels,,128 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-tablet-pc-659580.html,
Tablet - 5G,Apple,iPad mini (A17 Pro),645014,,2999,,Apple Intelligence,Blue,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,297.00 g ( 10.48 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-7-tablet-pc-645014.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad A16,654179,,1599,,,Yellow,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,128 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654179.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M3,654231,,3149,,Apple Intelligence,Purple,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,256 GB,460.00 g ( 1.01 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m3-tablet-pc-654231.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M3,654204,,2699,,Apple Intelligence,Starlight,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,128 GB,460.00 g ( 1.01 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m3-tablet-pc-654204.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M3,654212,,3149,,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,256 GB,460.00 g ( 1.01 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m3-tablet-pc-654212.html,
Tablet - 5G,Apple,iPad Pro 13 M4,635673,,9599,,Apple Intelligence,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-tablet-pc-635673.html,
Wi-Fi Tablet PC,Apple,iPad mini (A17 Pro),645029,,2299,,Apple Intelligence,Purple,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,293.00 g ( 10.34 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-a17-pro-tablet-pc-645029.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,635672,,10499,,Apple Intelligence,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer",2 TB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-tablet-pc-635672.html,
Wi-Fi Tablet PC,Apple,iPad A16,654192,,2049,,,Yellow,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654192.html,
Tablet - 5G,Apple,iPad mini (A17 Pro),645017,,2999,,Apple Intelligence,Purple,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,297.00 g ( 10.48 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-7-tablet-pc-645017.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad mini (A17 Pro),645027,,2299,,Apple Intelligence,Starlight,,iPadOS 18,,Liquid Retina Display,"8.3""",2266 X 1488 Pixels,"Apple Intelligence, 6-core CPU, 5-core GPU",128 GB,293.00 g ( 10.34 oz ),https://www.jarir.com/sa-en/apple-ipad-mini-a17-pro-tablet-pc-645027.html,
Tablet - 5G,Apple,iPad Air 13 M3,654191,,4399,,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m3-tablet-pc-654191.html,
Wi-Fi Tablet PC,Apple,iPad A16,654195,,2049,,,Pink,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654195.html,
Wi-Fi Tablet PC,Apple,iPad A16,654201,,2949,,,Blue,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,512 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654201.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M3,654202,,3699,,Apple Intelligence,Blue,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,616.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m3-tablet-pc-654202.html,
Tablet - 5G,Apple,iPad Air 13 M3,654203,,4399,,Apple Intelligence,Blue,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m3-tablet-pc-654203.html,
Wi-Fi Tablet PC,Apple,iPad A16,654188,,2049,,,Blue,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654188.html,
Tablet - 5G,Apple,iPad Air 11 M3,654200,,3399,,Apple Intelligence,Blue,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,128 GB,460.00 g ( 1.01 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m3-tablet-pc-654200.html,
Wi-Fi Tablet PC,Apple,iPad A16,654197,,2949,,,Silver,,iPadOS 18,,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID Sensor,512 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-a16-tablet-pc-654197.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M3,654177,,2699,,Apple Intelligence,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,128 GB,460.00 g ( 1.01 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m3-tablet-pc-654177.html,
