product_type,brand,model,sku,discount_percent,regular_price_sar,sale_price_sar,ai_enabled,color,cpu_clock,os,ram,screen_refresh_rate_hz,screen_size_inch,screen_type,special_features,storage,weight_kg,product_url,sim_slots
Tablet - 5G,Apple,iPad Air 13 M2,635591,13%,4849,4199,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,256 GB,618.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635591.html,
Tablet - Wi-Fi (with Active Pen),Lenovo,Tab P12,623457,37%,1599,999,AI Enabled,Storm Grey,2.6 GHz + 2.0 GHz,Android 13,8 GB RAM,3K 10-point Multi-Touch,"12.7""",2944 X 1840 Pixels,"Fingerprint Sensor, Accelerometer, G-Sensor",128 GB,615.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/lenovo-tab-p12-tablet-pc-623457.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635576,14%,3699,3149,Apple Intelligence,Purple,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635576.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635552,13%,3699,3199,Apple Intelligence,Space Grey,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635552.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635574,13%,3699,3199,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,128 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635574.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635519,16%,2699,2249,Apple Intelligence,Purple,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,128 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635519.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635517,16%,2699,2249,Apple Intelligence,Starlight,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,128 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635517.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635516,16%,2699,2249,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,128 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635516.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635523,14%,3149,2699,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,256 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635523.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635577,10%,4149,3699,Apple Intelligence,Blue,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,256 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635577.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635526,14%,3149,2699,Apple Intelligence,Purple,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,256 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635526.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635579,10%,4149,3699,Apple Intelligence,Purple,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,256 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635579.html,
Wi-Fi Tablet PC,Apple,iPad Air 11 M2,635542,11%,4049,3599,Apple Intelligence,Space Grey,,iPadOS 17,8 GB RAM,Liquid Retina Display,"11""",2360 X 1640 Pixels,Touch ID,512 GB,462.00 g ( 1.02 lb ),https://www.jarir.com/sa-en/apple-ipad-air-11-m2-2024-tablet-pc-635542.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5,622520,25%,1399,1049,,Space Grey,,HarmonyOS 3.1,8 GB RAM,TFT-LCD Touchscreen,"11.5""",2200 X 1440 Pixels,Huawei App Gallery,128 GB,1.07 kg ( 2.36 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-tablet-pc-622520.html,
Wi-Fi Tablet PC,Huawei,MatePad 11.5,620445,36%,1099,699,,Space Grey,,HarmonyOS 3.1,6 GB RAM,TFT-LCD Touchscreen,"11.5""",2200 X 1440 Pixels,Wide Angle Camera with FollowCam,128 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-620445.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M2,635559,10%,4149,3699,Apple Intelligence,Space Grey,,iPadOS 17,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,256 GB,617.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m2-2024-tablet-pc-635559.html,
Wi-Fi Tablet PC,Acer,Iconia P11,637749,38%,849,519,,Steel Grey,2.2 GHz,Android 14,8 GB RAM,IPS QLED Touchscreen,"11""",2000 X 1200 Pixels,,256 GB,550.00 g ( 1.21 lb ),https://www.jarir.com/sa-en/acer-iconia-a8-tablet-pc-637749.html,
Wi-Fi Tablet PC,Huawei,MatePad SE 11,644037,37%,849,529,,Nebula Grey,,HarmonyOS 2,6 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-644037.html,
Tablet - 4G (with Folio Case Cover & Stylus),Lenovo,Tab M11,627288,30%,999,699,,Grey,2.0 + 1.8 GHz,Android 13,4 GB RAM,WUXGA-IPS 400N 90 Hz Display,"11""",1920 X 1200 Pixels,"Accelerometer, Ambient Light, Gyroscope, Hall",128 GB,465.00 g ( 1.03 lb ),https://www.jarir.com/sa-en/lenovo-tab-m11-tablet-pc-627288.html,1 SIM
Tablet - 4G,Samsung,Galaxy Tab A9,626629,37%,749,469,,Silver,2.2 + 2.0 GHz,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,"Dolby Atmos, Quick Share",64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-tablet-pc-626629.html,1 SIM
Wi-Fi Tablet PC,Xiaomi,Redmi Pad Pro,642355,25%,1199,899,,Ocean Blue,2.4 GHz,Android HyperOS,6 GB RAM,FHD+ IPS LCD 120 Hz Display,"12.1""",2560 X 1600 Pixels,Triple TUV Rheinland Eye Protection,128 GB,570.00 g ( 1.26 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-pro-tablet-pc-642355.html,
Tablet - Wi-Fi (with Active Pen),Huawei,MatePad SE 11,635867,25%,999,749,,Nebula Grey,,HarmonyOS 2,8 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-635867.html,
Wi-Fi Tablet PC,Samsung,Galaxy Tab A9,630186,41%,649,379,,Graphite,,Android OS,4 GB RAM,FHD-LCD Touchscreen,"8.7""",1340 X 800 Pixels,,64 GB,333.00 g ( 11.75 oz ),https://www.jarir.com/sa-en/samsung-galaxy-tab-a9-tablet-pc-630186.html,
Tablet - 4G (with Keyboard),Huawei,MatePad Air,620441,8%,2499,2299,,Graphite,,HarmonyOS 3,8 GB RAM,LCD Touchscreen,"11.5""",2800 X 1840 Pixels,"FollowCam, Detachable Magnetic Keyboard",256 GB,518.00 g ( 1.14 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-620441.html,1 SIM
Tablet - 4G (with Case Cover),Honor,Pad X9,622931,22%,899,699,,Space Grey,4X 2.8 (Cortex-A73) + 4X 1.9 (Cortex-A53) GHz,Android 13,4 GB RAM,IPS-LCD Touchscreen,"11.5""",2000 X 1200 Pixels,,128 GB,525.00 g ( 1.16 lb ),https://www.jarir.com/sa-en/honor-pad-x9-tablet-pc-622931.html,1 SIM
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad Air PaperMatte,629041,7%,2599,2399,,White,,HarmonyOS 3.1,12 GB RAM,2.8K 144 Hz LCD Display,"11.5""",2800 X 1840 Pixels,Papermatte Edition,256 GB,508.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-629041.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,649521,12%,1599,1399,,Space Grey,,HarmonyOS 4.2,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2200 X 1440 Pixels,Huawei App Gallery,256 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-649521.html,
Wi-Fi Tablet PC,Xiaomi,Redmi Pad SE 11,651465,23%,849,649,,Lavender Purple,2.4 GHz,Android 13,8 GB RAM,FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,"90 Hz Refresh Rate, Low Blue Light",256 GB,478.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-11-tablet-pc-651465.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,649530,12%,1599,1399,,Isle Blue,,HarmonyOS 4.2,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2200 X 1440 Pixels,Huawei App Gallery,256 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-649530.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598646,3%,1299,1249,,Silver,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,64 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598646.html,
Wi-Fi Tablet PC,Xiaomi,Redmi Pad SE 11,651463,23%,849,649,,Graphite Grey,2.4 GHz,Android 13,8 GB RAM,FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,90 Hz Refresh Rate,256 GB,478.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/xiaomi-redmi-pad-se-11-tablet-pc-651463.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598663,3%,1299,1249,,Blue,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,64 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598663.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598670,2%,1899,1849,,Blue,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598670.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598667,3%,1299,1249,,Pink,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Fingerprint Sensor Touch ID,64 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598667.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598668,2%,1899,1849,,Silver,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598668.html,
Tablet - Wi-Fi (with Case Cover + Film),Lenovo,Tab M9,647252,11%,449,399,,Arctic Grey,2.0 + 1.8 GHz,Android 12,4 GB RAM,HD IPS 400N Touchscreen,"9""",1340 X 800 Pixels,"Accelerometer, Ambient Light, Hall Sensor",64 GB (eMMC),344.00 g ( 12.14 oz ),https://www.jarir.com/sa-en/lenovo-tab-m9-tablet-pc-647252.html,
Wi-Fi Tablet PC,Apple,iPad 10.9 10th Gen,598722,2%,1899,1849,,Pink,,iPadOS 16,,Liquid Retina Display,"10.9""",2360 X 1640 Pixels,Touch ID Sensor,256 GB,477.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/apple-ipad-10-9-10th-gen-tablet-pc-598722.html,
Wi-Fi Tablet PC,Huawei,MatePad SE 11,635866,2%,799,779,,Nebula Grey,,HarmonyOS 2,4 GB RAM,IPS FHD-LCD Touchscreen,"11""",1920 X 1200 Pixels,22.5W Fast Charging,128 GB,475.00 g ( 1.05 lb ),https://www.jarir.com/sa-en/huawei-tablet-pc-635866.html,
Tablet - Wi-Fi (with Keyboard),Huawei,MatePad 11.5 PaperMatte,663329,,1599,,,Space Grey,,HarmonyOS 4.2,8 GB RAM,120 Hz PaperMatte Touchscreen,"11.5""",2200 X 1440 Pixels,Huawei App Gallery,256 GB,499.00 g ( 1.10 lb ),https://www.jarir.com/sa-en/huawei-matepad-11-5-papermatte-tablet-pc-663329.html,
Tablet - Wi-Fi (with Clear Case Cover),Honor,Pad X8,619670,,699,,,Blue Hour,2X 2.0 (Cortex A75) + 6X 1.8 (Cortex A55) GHz,Android S,4 GB RAM,IPS-LCD Touchscreen,"10.1""",1920 X 1200 Pixels,"Blue Light Filter, Posture Alerts, e-Book Mode",64 GB,.46 kg ( 1.01 lb ),https://www.jarir.com/sa-en/honor-tablet-pc-619670.html,
Tablet - 4G (with Case Cover),Lenovo,Tab M10 (3rd Gen),600565,,799,,,Storm Grey,1.8 GHz,Android 11,4 GB RAM,IPS FHD-LCD Touchscreen,"10.1""",1920 X 1200 Pixels,,64 GB,460.00 g ( 1.01 lb ),https://www.jarir.com/sa-en/lenovo-tab-m10-3rd-gen-tablet-pc-600565.html,1 SIM
Tablet - 5G,Apple,iPad Pro 11 M4,635589,,5599,,Apple Intelligence,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-tablet-pc-635589.html,
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,637758,,7849,,Apple Intelligence,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-tablet-pc-637758.html,
Tablet - Wi-Fi with Stand,Taktik,H01,662029,,2199,,,White,2.0 + 1.8 GHz,Android 15,6 GB RAM,IPS FHD-LCD Touchscreen,"27""",1920 X 1080 Pixels,Built-In Stand,128 GB,0.01,https://www.jarir.com/sa-en/taktik-h01-tablet-pc-662029.html,
Tablet - 5G,Apple,iPad Pro 11 M4,635613,,6499,,Apple Intelligence,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 GB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-2024-tablet-pc-635613.html,
Wi-Fi Tablet PC,Apple,iPad Air 13 M3,654265,,5949,,Apple Intelligence,Starlight,4 Performance Cores/4 Efficiency Cores,iPadOS 18,8 GB RAM,Liquid Retina Display,"13""",2732 X 2048 Pixels,Touch ID,1 TB,616.00 g ( 1.36 lb ),https://www.jarir.com/sa-en/apple-ipad-air-13-m3-tablet-pc-654265.html,
Tablet - 4G,Lenovo,Tab M8 (4th Gen),600555,,549,,,Arctic Grey,2.0 GHz,Android 12 Go,2 GB RAM,IPS HD-LCD Touchscreen,"8""",1280 X 800 Pixels,,32 GB,320.00 g ( 11.30 oz ),https://www.jarir.com/sa-en/lenovo-tab-m8-4th-gen-tablet-pc-600555.html,1 SIM
Tablet - 4G,Apple,iPad Pro 12.9 - 2020,641450,40%,6519,3899,,Space Grey,,iPadOS,,Liquid Retina Display,"12.9""",2732 X 2048 Pixels,"Ultralow Reflectivity, True Tone, LiDAR Scanner",512 MB,643.00 g ( 1.42 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2020-renewed-tablet-pc-641450.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,652517,49%,8149,4099,,Silver,4 Performance Cores/4 Efficiency Cores,iPadOS 16,16 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",1 TB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-m2-renewed-tablet-pc-652517.html,
Tablet - 5G,Apple,iPad Pro 12.9 M1,642391,35%,6999,4499,,Silver,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer",512 MB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-642391.html,1 SIM
Tablet - 5G,Apple,iPad Pro 12.9 M2,620155,39%,6149,3699,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-620155.html,1 SIM
Tablet - 5G,Apple,iPad Pro 12.9 M1,660247,35%,6999,4499,Apple Intelligence,Silver,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",512 MB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-m1-renewed-tablet-pc-660247.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,631528,38%,6349,3899,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-631528.html,
Tablet - 5G,Apple,iPad Pro 12.9 M1,621618,38%,6199,3799,,Space Grey,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2021-renewed-tablet-pc-621618.html,1 SIM
Tablet - 5G,Apple,iPad Pro 13 M4,639801,30%,6899,4799,,Space Black,3 Performance Cores/6 Efficiency Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-639801.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M1,571841,37%,5399,3399,,Space Grey,,iPadOS 14,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2021-renewed-tablet-pc-571841.html,
Tablet - 5G,Apple,iPad Pro 12.9 M2,634796,29%,7049,4999,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,685.00 g ( 1.51 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-634796.html,1 SIM
Tablet - 5G,Apple,iPad Pro 13 M4,639834,27%,6899,4999,,Space Black,3 Performance Cores/6 Efficiency Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,582.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-renewed-tablet-pc-639834.html,
Tablet - 5G,Samsung,Galaxy Tab S8,661273,54%,3299,1499,,Silver,,Android 12,8 GB RAM,TFT-LCD Touchscreen,"11""",2560 X 1600 Pixels,Fingerprint,128 GB,507.00 g ( 1.12 lb ),https://www.jarir.com/sa-en/samsung-galaxy-tab-s8-renewed-tablet-pc-661273.html,1 SIM
Wi-Fi Tablet PC,Apple,iPad Pro 11 M4,659441,23%,7849,5999,Apple Intelligence,Space Black,4 Performance Cores/6 Efficiency Cores,iPadOS 17,16 GB RAM,Ultra Retina XDR Display,"11""",2420 X 1668 Pixels,"Face ID, LiDAR Scanner, Accelerometer",1 TB,446.00 g ( 15.74 oz ),https://www.jarir.com/sa-en/apple-ipad-pro-11-m4-renewed-tablet-pc-659441.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,641441,24%,6899,5199,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",512 MB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-renewed-tablet-pc-641441.html,
Wi-Fi Tablet PC,Apple,iPad Pro 13 M4,641447,28%,5999,4299,,Space Black,3 Performance Cores/6 Efficieny Cores,iPadOS 17,8 GB RAM,Ultra Retina XDR Display,"13""",2752 X 2064 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,579.00 g ( 1.28 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-13-m4-2024-renewed-tablet-pc-641447.html,
Wi-Fi Tablet PC,Apple,iPad Pro 12.9 M2,619791,30%,5449,3799,,Space Grey,4 Performance Cores/4 Efficiency Cores,iPadOS 16,8 GB RAM,Liquid Retina XDR Display,"12.9""",2732 X 2048 Pixels,"Face ID, LiDAR Scanner, Accelerometer, Three-axis Gyro, Barometer, Ambient Light",256 GB,682.00 g ( 1.50 lb ),https://www.jarir.com/sa-en/apple-ipad-pro-12-9-2022-renewed-tablet-pc-619791.html,
